Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR,treatment,term_clean,-log10(p),gene_ratio
GOTERM_BP_FAT,GO:0006091~generation of precursor metabolites and energy,4,7.4074074074074066,0.0740499194397963,"4509, 4540, 4512, 4539",49,389,19104,4.009023660878233,1.0,1.0,1.0,nZF105,generation of precursor metabolites and energy,1.1304754096190854,0.08163265306122448
GOTERM_BP_FAT,GO:0033554~cellular response to stress,9,16.666666666666664,0.0771440149328266,"1026, 6596, 23064, 5663, 9518, 23047, 94241, 23190, 55183",49,1796,19104,1.9537293759374577,1.0,1.0,1.0,nZF105,cellular response to stress,1.112697762179896,0.1836734693877551
GOTERM_BP_FAT,GO:0006164~purine nucleotide biosynthetic process,3,5.555555555555555,0.078034008353907,"4509, 4540, 4539",49,184,19104,6.356699201419699,1.0,1.0,1.0,nZF105,purine nucleotide biosynthetic process,1.107716084212585,0.061224489795918366
GOTERM_BP_FAT,GO:0046034~ATP metabolic process,3,5.555555555555555,0.078034008353907,"4509, 4540, 4539",49,184,19104,6.356699201419699,1.0,1.0,1.0,nZF105,ATP metabolic process,1.107716084212585,0.061224489795918366
GOTERM_BP_FAT,GO:0043632~modification-dependent macromolecule catabolic process,5,9.25925925925926,0.0801712668985989,"23318, 6907, 7267, 9636, 23008",49,651,19104,2.994451236715885,1.0,1.0,1.0,nZF105,modification-dependent macromolecule catabolic process,1.0959812534523397,0.10204081632653061
GOTERM_BP_FAT,GO:0050867~positive regulation of cell activation,4,7.4074074074074066,0.0813429613077118,"1026, 6541, 10808, 55183",49,405,19104,3.8506424792139073,1.0,1.0,1.0,nZF105,positive regulation of cell activation,1.0896800210611561,0.08163265306122448
GOTERM_BP_FAT,GO:0002682~regulation of immune system process,9,16.666666666666664,0.0815647589935674,"354, 1026, 6541, 5663, 10808, 9518, 8638, 9636, 55183",49,1818,19104,1.9300868862396443,1.0,1.0,1.0,nZF105,regulation of immune system process,1.0884974427228644,0.1836734693877551
GOTERM_CC_FAT,GO:0031966~mitochondrial membrane,6,11.11111111111111,0.0815682784618282,"4509, 4540, 5663, 4512, 292, 4539",47,849,16775,2.5223667393429063,0.9999999810854094,1.0,0.9951923076923076,nZF105,mitochondrial membrane,1.0884787035922876,0.1276595744680851
KEGG_PATHWAY,hsa05322:Systemic lupus erythematosus,3,5.555555555555555,0.0851549601731536,"8337, 723790, 8349",33,143,9375,5.959949141767323,0.999481748333744,0.5700827531426798,0.5435672762523226,nZF105,Systemic lupus erythematosus,1.0697900498377324,0.09090909090909091
KEGG_PATHWAY,hsa04550:Signaling pathways regulating pluripotency of stem cells,3,5.555555555555555,0.0861752998936609,"3399, 3397, 55183",33,144,9375,5.918560606060606,0.999528647440488,0.5700827531426798,0.5435672762523226,nZF105,Signaling pathways regulating pluripotency of stem cells,1.064617196554358,0.09090909090909091
GOTERM_CC_FAT,GO:0005640~nuclear outer membrane,2,3.7037037037037033,0.0867108664216478,"4925, 5663",47,33,16775,21.631205673758863,0.9999999941503122,1.0,0.9951923076923076,nZF105,nuclear outer membrane,1.061926474251061,0.0425531914893617
GOTERM_MF_FAT,GO:0004252~serine-type endopeptidase activity,3,5.555555555555555,0.0881433652210607,"354, 3817, 9622",46,191,17305,5.908832233098111,0.9999999999954372,1.0,1.0,nZF105,serine-type endopeptidase activity,1.0548103726026203,0.06521739130434782
GOTERM_BP_FAT,GO:0009205~purine ribonucleoside triphosphate metabolic process,3,5.555555555555555,0.096129573689036,"4509, 4540, 4539",49,208,19104,5.623233908948195,1.0,1.0,1.0,nZF105,purine ribonucleoside triphosphate metabolic process,1.0171429836726307,0.061224489795918366
GOTERM_CC_FAT,GO:0005740~mitochondrial envelope,6,11.11111111111111,0.0969399819708374,"4509, 4540, 5663, 4512, 292, 4539",47,895,16775,2.3927255438012596,0.9999999994443868,1.0,0.9951923076923076,nZF105,mitochondrial envelope,1.0134970653845259,0.1276595744680851
GOTERM_BP_FAT,GO:0009891~positive regulation of biosynthetic process,12,22.22222222222222,0.0972389775612998,"354, 55870, 6907, 6596, 23064, 5663, 3399, 10808, 3397, 9636, 94241, 55183",49,2876,19104,1.6267491697652634,1.0,1.0,1.0,nZF105,positive regulation of biosynthetic process,1.0121596162809854,0.24489795918367346
GOTERM_BP_FAT,GO:0051607~defense response to virus,6,37.5,1.240269401114148e-06,"54541, 3437, 664, 3434, 3433, 9636",14,309,19104,26.49653259361997,0.0007798257148158294,0.000778889183899685,0.0007739281062952285,nZF139,defense response to virus,5.906483970717162,0.42857142857142855
GOTERM_BP_FAT,GO:0009615~response to virus,6,37.5,6.118014691663662e-06,"54541, 3437, 664, 3434, 3433, 9636",14,428,19104,19.12950600801068,0.0038408480146697,0.0019210566131823,0.001908820583799,nZF139,response to virus,5.213389484445031,0.42857142857142855
GOTERM_BP_FAT,GO:0042981~regulation of apoptotic process,7,43.75,0.0003709622628016503,"3437, 664, 3312, 3433, 3399, 3486, 3397",14,1617,19104,5.907235621521336,0.2081462420711354,0.069426599172899,0.0689843915348551,nZF139,regulation of apoptotic process,3.430670267987621,0.5
GOTERM_BP_FAT,GO:0043067~regulation of programmed cell death,7,43.75,0.0004569816262174152,"3437, 664, 3312, 3433, 3399, 3486, 3397",14,1680,19104,5.685714285714285,0.2498687896618004,0.069426599172899,0.0689843915348551,nZF139,regulation of programmed cell death,3.34010126118355,0.5
