,gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,treatment
0,ENSG00000000003,72.71212155008965,-0.2449259789702379,0.28913833694165436,-0.84708925686206,0.39694537273288333,0.9984298320175021,hATF567
1,ENSG00000000419,552.2838156165635,-0.024530190259839876,0.12221762363457472,-0.2007091083130863,0.8409260372422273,0.9984298320175021,hATF567
2,ENSG00000000457,52.912136926232,-0.07774791936483921,0.332035577621591,-0.23415538756947823,0.8148643478310882,0.9984298320175021,hATF567
3,ENSG00000000460,91.5234617350301,-0.5300804871104998,0.2642850726871685,-2.0057148204429636,0.04488668307130794,0.770825042694235,hATF567
4,ENSG00000000938,0.24332151819556447,-1.5204164467368835,5.0851873498954,-0.2989892686585397,0.7649482336244904,,hATF567
5,ENSG00000000971,0.7654360515812719,0.8846239780015246,2.882666812366759,0.3068769426305015,0.7589370399473847,,hATF567
6,ENSG00000001036,367.47370654168685,-0.02818777242283267,0.14481936982640084,-0.19464089960218836,0.8456740821058146,0.9984298320175021,hATF567
7,ENSG00000001084,97.84037078748698,0.054799253378428434,0.2560590299644952,0.21401023578831346,0.8305390750940278,0.9984298320175021,hATF567
8,ENSG00000001167,105.02061545548027,-0.0853018106526046,0.24636298339425197,-0.3462444295703996,0.7291590273074792,0.9984298320175021,hATF567
9,ENSG00000001460,79.86408609192316,0.09760507537516257,0.27893971644872123,0.34991458591055735,0.7264028002319585,0.9984298320175021,hATF567
10,ENSG00000001461,293.3936924445145,-0.13555272701899201,0.1536406099513048,-0.8822714714680864,0.37763002006326274,0.9984298320175021,hATF567
11,ENSG00000001497,821.0229996717262,0.1318156437058741,0.11273670804763505,1.1692344577790719,0.24230918174685057,0.9733862061194799,hATF567
12,ENSG00000001561,49.7729691331057,-0.29160731365514403,0.34033206975178526,-0.8568317228165487,0.391537891065331,0.9984298320175021,hATF567
13,ENSG00000001617,105.57855260666236,0.2653013135272422,0.2443014476674732,1.0859588269339795,0.27749720855475946,0.984807086585716,hATF567
14,ENSG00000001626,0.48885277278654043,-0.0674301927348975,3.4503266284907093,-0.01954313315675675,0.9844078283210489,,hATF567
15,ENSG00000001629,179.33914141635458,-0.7251621659232291,0.19410053599155844,-3.7360132068608354,0.00018696085311086088,0.06010538777712677,hATF567
16,ENSG00000001630,229.60202491966186,0.06346902284002903,0.17347634038422485,0.36586558547093156,0.7144653773843926,0.9984298320175021,hATF567
17,ENSG00000001631,217.9094205924938,-0.29427732282079916,0.17649038080344434,-1.6673844856651594,0.09543797679187598,0.871503313206822,hATF567
18,ENSG00000002016,33.86911499162997,0.054382095599999306,0.42065779710624146,0.1292787058128975,0.897137120326551,,hATF567
19,ENSG00000002330,861.1220326714223,0.08192879703913489,0.11210096294654426,0.7308482896636929,0.464871824032566,0.9984298320175021,hATF567
20,ENSG00000002549,748.71852106478,0.1320823709791686,0.11100244046713544,1.1899051086023134,0.23408369036162124,0.9665147264420787,hATF567
21,ENSG00000002586,2159.276052978694,0.09950446708932587,0.08852638708855036,1.124009127242417,0.2610091539142919,0.9778545994542298,hATF567
22,ENSG00000002587,60.66090534140239,0.041151807570166926,0.32060594348936483,0.12835634649278427,0.8978669757764783,0.9984298320175021,hATF567
23,ENSG00000002726,0.54874708479864,-2.614891076363729,3.8783805824137474,-0.6742224030877152,0.5001699286141517,,hATF567
24,ENSG00000002746,0.7174825910716957,2.9179934179033333,3.4171181491859057,0.8539340141336688,0.3931415517486164,,hATF567
25,ENSG00000002822,66.89763989536135,0.2255782422122743,0.2969370998578844,0.7596835906332929,0.4474437396715396,0.9984298320175021,hATF567
26,ENSG00000002834,417.8244714653361,0.1425954921363899,0.13405820557633266,1.063683431561346,0.2874721326120607,0.9890184001311285,hATF567
27,ENSG00000002919,91.34539152279724,0.004493258591351907,0.25564285199939746,0.017576312250508368,0.9859768538440196,0.9992790226231701,hATF567
28,ENSG00000002933,2.398695668575033,0.5235000153075878,1.6387042956503999,0.31945971991231725,0.7493779312320763,,hATF567
29,ENSG00000003056,353.02939761345414,0.05310733534434211,0.1551146714299075,0.3423746758109855,0.7320689439636696,0.9984298320175021,hATF567
30,ENSG00000003096,32.63159943897183,-0.36880847293217217,0.422229921904576,-0.8734778228614573,0.382402688990772,,hATF567
31,ENSG00000003137,0.4815069228313358,2.340610174760864,3.8085270836012337,0.614570967563568,0.5388380924399971,,hATF567
32,ENSG00000003147,317.5237698088624,-0.004005171622084972,0.1494607189940844,-0.026797486650947368,0.9786212578614795,0.9988889723911497,hATF567
33,ENSG00000003249,470.5820170125887,0.09941756458593141,0.1347054185699917,0.7380368632630391,0.460492048512807,0.9984298320175021,hATF567
34,ENSG00000003393,95.35785760248068,-0.28257997980350696,0.2522466611948378,-1.1202526069720282,0.2626061318086934,0.9778545994542298,hATF567
35,ENSG00000003400,9.535036978662202,0.9268476726880573,0.8051245098421103,1.1511855139894047,0.2496559234289022,,hATF567
36,ENSG00000003402,138.60775087534324,-0.35911047008713176,0.21453621740629972,-1.6738920562164563,0.09415181569094584,0.8703805480343676,hATF567
37,ENSG00000003436,844.8186304929183,-0.13562947169123743,0.11129855375267851,-1.2186094708168962,0.22299245268827717,0.961447040135162,hATF567
38,ENSG00000003509,108.44365262655683,0.1662261548369686,0.23749902734775344,0.6999024656786282,0.48398821747638787,0.9984298320175021,hATF567
39,ENSG00000003756,449.1942944389134,0.011930948869406042,0.14351523781851835,0.08313367312600825,0.9337452512253215,0.9984298320175021,hATF567
40,ENSG00000003989,179.1249203528538,-0.09298739682132033,0.19726275160475817,-0.4713885214763342,0.6373633114433277,0.9984298320175021,hATF567
41,ENSG00000004059,1495.7944739945533,0.08087527978163686,0.09418377455507282,0.8586965235115527,0.3905079689893317,0.9984298320175021,hATF567
42,ENSG00000004139,167.79127085132498,0.2103489242824587,0.19548849024301732,1.076016925707329,0.28191968676370205,0.9854213703882183,hATF567
43,ENSG00000004142,1837.3136966755333,0.1281311413019146,0.08994847457906915,1.4244948777789557,0.15430326679353462,0.9241631467332496,hATF567
44,ENSG00000004399,6.01521524278402,-1.3830320673787742,1.0330660977008634,-1.3387643544365422,0.18064739845348454,,hATF567
45,ENSG00000004455,1711.0287768325572,0.09400600164300496,0.09247700577075706,1.0165337951797246,0.3093752627236358,0.996087304380837,hATF567
46,ENSG00000004468,0.7558804652306558,0.8673732078540574,2.7535495613659102,0.3150018507107579,0.7527602486848075,,hATF567
47,ENSG00000004478,2480.3248676166204,0.15558982094380702,0.08790069627831062,1.7700635777807665,0.07671655012980999,0.84500394173295,hATF567
48,ENSG00000004487,718.3913875341663,0.13309175236848314,0.11327355072182504,1.1749587747569354,0.2400112093766592,0.9717847847252962,hATF567
49,ENSG00000004534,510.2713330953345,-0.18933046922192812,0.13038113396823678,-1.4521308678604716,0.14646522048988514,0.9200147508592356,hATF567
50,ENSG00000004660,98.28272175726507,0.17263981611411783,0.2513804893373868,0.6867669665580597,0.4922295893657793,0.9984298320175021,hATF567
51,ENSG00000004700,205.56807736924992,-0.20290404334135775,0.1830115157471421,-1.108695496635852,0.2675615652991844,0.9807881894246405,hATF567
52,ENSG00000004766,65.58953240622706,-0.11203237854549432,0.29755014155022713,-0.37651596454234254,0.7065333492179284,0.9984298320175021,hATF567
53,ENSG00000004776,10.4272419209669,0.7238107554418383,0.763553693979568,0.947950040905973,0.3431548881500932,,hATF567
54,ENSG00000004777,35.80420452145381,-0.04943842624717916,0.4049952234568261,-0.12207162796933448,0.9028422914059737,,hATF567
55,ENSG00000004779,4208.720195693452,0.031088881748388225,0.08344852047543298,0.3725516230996655,0.70948218384807,0.9984298320175021,hATF567
56,ENSG00000004809,0.9585943728718487,-0.06352540214918054,2.540671602453844,-0.02500338968949239,0.9800522598737761,,hATF567
57,ENSG00000004838,8.528212364310466,-0.4376170167745958,0.8104920549642505,-0.5399399217971339,0.5892384651951379,,hATF567
58,ENSG00000004846,1.461422204799828,2.2467641956705497,2.246176049932016,1.0002618431171286,0.3171838077153427,,hATF567
